PRODUCT_NAME,TAXONOMY_INDEX,ADDITIONAL_DETAILS,ACQUISITION_COST,SALE_COST,QUANTITY,WAREHOUSE_NAME,CITY,STATE,COUNTRY_NAME,CREATION_DATE,DETAILS_GROUP_ONE,DETAILS_GROUP_TWO,DETAILS_GROUP_THREE,DETAILS_GROUP_FOUR,PROFIT,TOTAL PROFIT,PROFIT AFTER tax
Samsung MZ-75E120B/AM,True,"Series:850 EVO-Series,Type:SSD,Capacity:120GB,Cache:N/A",74.41,88.99,227.0,San Francisco,San Francisco,California,United States,2000-04-01,Series:850 EVO-Series,Type:SSD,Capacity:120GB,Cache:N/A,14.579999999999998,3309.6599999999994,3309.6599999999994
MSI GeForce GTX 1080 Ti GAMING X 11G,,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.57GHz",666.59,759.99,134.0,Bombay,Bombay,Maharashtra,India,2000-08-01,Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.57GHz,,,93.39999999999998,12515.599999999997,12515.599999999997
PNY VCQP6000-PB,,"Chipset:Quadro P6000,Memory:24GBCore Clock:1.42GHz",4058.99,5499.99,45.0,Mexico City,Monterrey,Nuevo Leon,Mexico,,Chipset:Quadro P6000,Memory:24GBCore Clock:1.42GHz,,,1441.0,64845.0,45391.5
PNY VCQP6000-PB,,"Chipset:Quadro P6000,Memory:24GBCore Clock:1.42GHz",4058.99,5499.99,28.0,Beijing,Beijing,Beijing,China,,Chipset:Quadro P6000,Memory:24GBCore Clock:1.42GHz,,,1441.0,40348.0,20174.0
Kingston,,"Speed:DDR4-2133,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",650.48,741.63,27.0,Beijing,Beijing,Beijing,China,,Speed:DDR4-2133,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB,,91.14999999999998,2461.0499999999993,1230.5249999999996
AMD 100-5056062,,"Chipset:Vega Frontier Edition Liquid,Memory:16GBCore Clock:1.5GHz",1343.84,1499.99,120.0,San Francisco,South San Francisco,California,United States,2000-03-02,Chipset:Vega Frontier Edition Liquid,Memory:16GBCore Clock:1.5GHz,,,156.1500000000001,18738.00000000001,18738.00000000001
Gigabyte GV-N1070WF2OC-8GD,,"Chipset:GeForce GTX 1070,Memory:8GBCore Clock:1.56GHz",551.62,769.99,196.0,Mexico City,Monterrey,Nuevo Leon,Mexico,,Chipset:GeForce GTX 1070,Memory:8GBCore Clock:1.56GHz,,,218.37,42800.520000000004,29960.364
ASRock C2750D4I,,"CPU:Atom C2750,Form Factor:Mini ITX,RAM Slots:4,Max RAM:64GB",339.55,401.98,149.0,Sydney,Sydney,New South Wales,Australia,,CPU:Atom C2750,Form Factor:Mini ITX,RAM Slots:4,Max RAM:64GB,62.43000000000001,9302.070000000002,6976.552500000002
Asus X99-E WS/USB 3.1,,"CPU:LGA2011-3,CPU:LGA2011-3,CPU:LGA2011-3,CPU:LGA2011-3",428.89,482.49,172.0,Sydney,Sydney,New South Wales,Australia,2000-09-04,CPU:LGA2011-3,CPU:LGA2011-3,CPU:LGA2011-3,CPU:LGA2011-3,53.60000000000002,9219.200000000004,6914.400000000003
Intel Xeon E5-2683 V4,,"Speed:2.1GHz,Cores:16,TDP:120W",1706.95,1899.99,71.0,Sydney,Sydney,New South Wales,Australia,,Speed:2.1GHz,Cores:16,TDP:120W,,193.03999999999996,13705.839999999997,10279.379999999997
Intel Xeon E5-1680 V3 (OEM/Tray),,"Speed:3.2GHz,Cores:8,TDP:140W",1519.85,1751.99,145.0,Sydney,Sydney,New South Wales,Australia,,Speed:3.2GHz,Cores:8,TDP:140W,,232.1400000000001,33660.30000000002,25245.225000000013
G.Skill Ripjaws V Series,True,"Speed:DDR4-3333,Type:288-pin DIMM,CAS:16Module:4x16GBSize:64GB",618.63,704.99,37.0,Bombay,Bombay,Maharashtra,India,2000-01-05,Speed:DDR4-3333,Type:288-pin DIMM,CAS:16Module:4x16GBSize:64GB,,86.36000000000001,3195.3200000000006,3195.3200000000006
Asus Sabertooth 990FX,,"CPU:AM3+,Form Factor:ATX,RAM Slots:4,Max RAM:32GB",252.31,295.72,42.0,Toronto,Toronto,Ontario,Canada,2000-03-05,CPU:AM3+,Form Factor:ATX,RAM Slots:4,Max RAM:32GB,43.410000000000025,1823.2200000000012,1823.2200000000012
Gigabyte X299 AORUS Gaming 3,True,"CPU:LGA2066,Form Factor:ATX,RAM Slots:8,Max RAM:128GB",227.48,280.98,41.0,Sydney,Sydney,New South Wales,Australia,2000-09-05,CPU:LGA2066,Form Factor:ATX,RAM Slots:8,Max RAM:128GB,53.50000000000003,2193.5000000000014,1645.125000000001
Supermicro X10SAT-O,,"CPU:LGA1150,Form Factor:ATX,RAM Slots:4,Max RAM:32GB",207.08,281.97,28.0,Mexico City,Monterrey,Nuevo Leon,Mexico,,CPU:LGA1150,Form Factor:ATX,RAM Slots:4,Max RAM:32GB,74.89000000000001,2096.9200000000005,1467.8440000000003
PNY VCGGTX780T3XPB-OC,,"Chipset:GeForce GTX 780 Ti,Memory:3GBCore Clock:980MHz",592.12,749.99,118.0,New Jersey,South Brunswick,New Jersey,United States,,Chipset:GeForce GTX 780 Ti,Memory:3GBCore Clock:980MHz,,,157.87,18628.66,18628.66
Gigabyte GV-N98TWF3OC-6GD,,"Chipset:GeForce GTX 980 Ti,Memory:6GBCore Clock:1.06GHz",633.29,749.99,86.0,"Seattle, Washington",Seattle,Washington,United States,,Chipset:GeForce GTX 980 Ti,Memory:6GBCore Clock:1.06GHz,,,116.70000000000005,10036.200000000004,10036.200000000004
Zotac ZT-70203-10P,,"Chipset:GeForce GTX 780,Memory:3GBCore Clock:1.01GHz",580.42,820.61,55.0,Sydney,Sydney,New South Wales,Australia,,Chipset:GeForce GTX 780,Memory:3GBCore Clock:1.01GHz,,,240.19000000000005,13210.450000000003,9907.837500000001
Supermicro X10SDV-8C-TLN4F,,"CPU:Xeon D-1541,Form Factor:Mini ITX,RAM Slots:4,Max RAM:64GB",664.29,948.99,223.0,"Seattle, Washington",Seattle,Washington,United States,2000-02-08,CPU:Xeon D-1541,Form Factor:Mini ITX,RAM Slots:4,Max RAM:64GB,284.70000000000005,63488.10000000001,63488.10000000001
PNY VCQM6000-PB,,"Chipset:Quadro M6000,Memory:12GBCore Clock:988MHz",2505.04,3254.99,145.0,Sydney,Sydney,New South Wales,Australia,2000-09-08,Chipset:Quadro M6000,Memory:12GBCore Clock:988MHz,,,749.9499999999998,108742.74999999997,81557.06249999997
MSI GeForce GTX 1080 Ti GAMING X 11G,,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.57GHz",666.59,759.99,208.0,Toronto,Toronto,Ontario,Canada,,Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.57GHz,,,93.39999999999998,19427.199999999997,19427.199999999997
Zotac ZT-P10810D-10P,,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.57GHz",580.1,759.99,304.0,New Jersey,South Brunswick,New Jersey,United States,,Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.57GHz,,,179.89,54686.56,54686.56
Intel Core i7-5960X,,"Speed:3.0GHz,Cores:8,TDP:140W",865.59,1009.79,172.0,"Seattle, Washington",Seattle,Washington,United States,2000-01-09,Speed:3.0GHz,Cores:8,TDP:140W,,144.19999999999993,24802.399999999987,24802.399999999987
MSI X299 TOMAHAWK ARCTIC,,"CPU:LGA2066,Form Factor:ATX,RAM Slots:8,Max RAM:128GB",223.92,281.98,15.0,Beijing,Beijing,Beijing,China,2000-06-10,CPU:LGA2066,Form Factor:ATX,RAM Slots:8,Max RAM:128GB,58.06000000000003,870.9000000000004,435.4500000000002
Samsung MZ-75E1T0B/AM,,"Series:850 EVO-Series,Type:SSD,Capacity:1TB,Cache:N/A",260.23,339.99,216.0,Toronto,Toronto,Ontario,Canada,,Series:850 EVO-Series,Type:SSD,Capacity:1TB,Cache:N/A,79.75999999999999,17228.159999999996,17228.159999999996
Corsair Vengeance LPX,True,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",571.7,645.99,107.0,San Francisco,South San Francisco,California,United States,,Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB,,74.28999999999996,7949.029999999996,7949.029999999996
Intel Xeon E5-2697 V2,,"Speed:2.7GHz,Cores:12,TDP:130W",2101.59,2377.09,44.0,Toronto,Toronto,Ontario,Canada,,Speed:2.7GHz,Cores:12,TDP:130W,,275.5,12122.0,12122.0
Gigabyte GV-N98TWF3OC-6GD,,"Chipset:GeForce GTX 980 Ti,Memory:6GBCore Clock:1.06GHz",633.29,749.99,27.0,Mexico City,Monterrey,Nuevo Leon,Mexico,,Chipset:GeForce GTX 980 Ti,Memory:6GBCore Clock:1.06GHz,,,116.70000000000005,3150.9000000000015,2205.630000000001
