PRODUCT_NAME,TAXONOMY_INDEX,ADDITIONAL_DETAILS,ACQUISITION_COST,SALE_COST,QUANTITY,WAREHOUSE_NAME,CITY,STATE,COUNTRY_NAME,CREATION_DATE
Samsung MZ-75E120B/AM,TRUE,"Series:850 EVO-Series,Type:SSD,Capacity:120GB,Cache:N/A",74.41,88.99,227,San Francisco,San Francisco,California,United States of America,04/01/2000
MSI GeForce GTX 1080 Ti GAMING X 11G,,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.57GHz",666.59,759.99,134,Bombay,Bombay,Maharashtra,India,08/01/2000
PNY VCQP6000-PB,,"Chipset:Quadro P6000,Memory:24GBCore Clock:1.42GHz",4058.99,5499.99,45,Mexico City,Monterrey,Nuevo León,Mexico,19/01/2000
PNY VCQP6000-PB,,"Chipset:Quadro P6000,Memory:24GBCore Clock:1.42GHz",4058.99,5499.99,28,Beijing,Beijing,Shenzhen,China,29/01/2000
Kingston,,"Speed:DDR4-2133,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",650.48,741.63,27,Beijing,Beijing,Shenzhen,China,30/01/2000
AMD 100-5056062,,"Chipset:Vega Frontier Edition Liquid,Memory:16GBCore Clock:1.5GHz",1343.84,1499.99,120,San Francisco,South San Francisco,California,United States of America,03/02/2000
Gigabyte GV-N1070WF2OC-8GD,,"Chipset:GeForce GTX 1070,Memory:8GBCore Clock:1.56GHz",551.62,769.99,196,Mexico City,Monterrey,Nuevo León,Mexico,21/02/2000
ASRock C2750D4I,,"CPU:Atom C2750,Form Factor:Mini ITX,RAM Slots:4,Max RAM:64GB",339.55,401.98,149,Sydney,Sydney,New South Wales,Australia,31/03/2000
Asus X99-E WS/USB 3.1,,"CPU:LGA2011-3,CPU:LGA2011-3,CPU:LGA2011-3,CPU:LGA2011-3",428.89,482.49,172,Sydney,Sydney,New South Wales,Australia,09/04/2000
Intel Xeon E5-2683 V4,,"Speed:2.1GHz,Cores:16,TDP:120W",1706.95,1899.99,71,Sydney,Sydney,New South Wales,Sydney,25/04/2000
Intel Xeon E5-1680 V3 (OEM/Tray),,"Speed:3.2GHz,Cores:8,TDP:140W",1519.85,1751.99,145,Sydney,Sydney,New South Wales,Australia,26/04/2000
G.Skill Ripjaws V Series,TRUE,"Speed:DDR4-3333,Type:288-pin DIMM,CAS:16Module:4x16GBSize:64GB",618.63,704.99,37,Bombay,Bombay,Maharashtra,India,01/05/2000
Asus Sabertooth 990FX,,"CPU:AM3+,Form Factor:ATX,RAM Slots:4,Max RAM:32GB",252.31,295.72,42,Toronto,Toronto,Ontario,Canada,03/05/2000
Gigabyte X299 AORUS Gaming 3,TRUE,"CPU:LGA2066,Form Factor:ATX,RAM Slots:8,Max RAM:128GB",227.48,280.98,41,Sydney,Sydney,New South Wales,Australia,09/05/2000
Supermicro X10SAT-O,,"CPU:LGA1150,Form Factor:ATX,RAM Slots:4,Max RAM:32GB",207.08,281.97,28,Mexico City,Monterrey,Nuevo León,Mexico,19/06/2000
