PRODUCT_NAME,TAXONOMY_INDEX,ADDITIONAL_DETAILS,ACQUISITION_COST,SALE_COST,QUANTITY,WAREHOUSE_NAME,CITY,STATE,COUNTRY_NAME,CREATION_DATE
Samsung MZ-75E120B/AM,True,"Series:850 EVO-Series,Type:SSD,Capacity:120GB,Cache:N/A",74.41,88.99,227.0,San Francisco,San Francisco,California,United States,2000-04-01
MSI GeForce GTX 1080 Ti GAMING X 11G,,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.57GHz",666.59,759.99,134.0,Bombay,Bombay,Maharashtra,India,2000-08-01
PNY VCQP6000-PB,,"Chipset:Quadro P6000,Memory:24GBCore Clock:1.42GHz",4058.99,5499.99,45.0,Mexico City,Monterrey,Nuevo Leon,Mexico,
PNY VCQP6000-PB,,"Chipset:Quadro P6000,Memory:24GBCore Clock:1.42GHz",4058.99,5499.99,28.0,Beijing,Beijing,Beijing,China,
Kingston,,"Speed:DDR4-2133,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",650.48,741.63,27.0,Beijing,Beijing,Beijing,China,
AMD 100-5056062,,"Chipset:Vega Frontier Edition Liquid,Memory:16GBCore Clock:1.5GHz",1343.84,1499.99,120.0,San Francisco,South San Francisco,California,United States,2000-03-02
Gigabyte GV-N1070WF2OC-8GD,,"Chipset:GeForce GTX 1070,Memory:8GBCore Clock:1.56GHz",551.62,769.99,196.0,Mexico City,Monterrey,Nuevo Leon,Mexico,
ASRock C2750D4I,,"CPU:Atom C2750,Form Factor:Mini ITX,RAM Slots:4,Max RAM:64GB",339.55,401.98,149.0,Sydney,Sydney,New South Wales,Australia,
Asus X99-E WS/USB 3.1,,"CPU:LGA2011-3,CPU:LGA2011-3,CPU:LGA2011-3,CPU:LGA2011-3",428.89,482.49,172.0,Sydney,Sydney,New South Wales,Australia,2000-09-04
Intel Xeon E5-2683 V4,,"Speed:2.1GHz,Cores:16,TDP:120W",1706.95,1899.99,71.0,Sydney,Sydney,New South Wales,Australia,
Intel Xeon E5-1680 V3 (OEM/Tray),,"Speed:3.2GHz,Cores:8,TDP:140W",1519.85,1751.99,145.0,Sydney,Sydney,New South Wales,Australia,
G.Skill Ripjaws V Series,True,"Speed:DDR4-3333,Type:288-pin DIMM,CAS:16Module:4x16GBSize:64GB",618.63,704.99,37.0,Bombay,Bombay,Maharashtra,India,2000-01-05
Asus Sabertooth 990FX,,"CPU:AM3+,Form Factor:ATX,RAM Slots:4,Max RAM:32GB",252.31,295.72,42.0,Toronto,Toronto,Ontario,Canada,2000-03-05
Gigabyte X299 AORUS Gaming 3,True,"CPU:LGA2066,Form Factor:ATX,RAM Slots:8,Max RAM:128GB",227.48,280.98,41.0,Sydney,Sydney,New South Wales,Australia,2000-09-05
Supermicro X10SAT-O,,"CPU:LGA1150,Form Factor:ATX,RAM Slots:4,Max RAM:32GB",207.08,281.97,28.0,Mexico City,Monterrey,Nuevo Leon,Mexico,
PNY VCGGTX780T3XPB-OC,,"Chipset:GeForce GTX 780 Ti,Memory:3GBCore Clock:980MHz",592.12,749.99,118.0,New Jersey,South Brunswick,New Jersey,United States,
Gigabyte GV-N98TWF3OC-6GD,,"Chipset:GeForce GTX 980 Ti,Memory:6GBCore Clock:1.06GHz",633.29,749.99,86.0,"Seattle, Washington",Seattle,Washington,United States,
Zotac ZT-70203-10P,,"Chipset:GeForce GTX 780,Memory:3GBCore Clock:1.01GHz",580.42,820.61,55.0,Sydney,Sydney,New South Wales,Australia,
Supermicro X10SDV-8C-TLN4F,,"CPU:Xeon D-1541,Form Factor:Mini ITX,RAM Slots:4,Max RAM:64GB",664.29,948.99,223.0,"Seattle, Washington",Seattle,Washington,United States,2000-02-08
PNY VCQM6000-PB,,"Chipset:Quadro M6000,Memory:12GBCore Clock:988MHz",2505.04,3254.99,145.0,Sydney,Sydney,New South Wales,Australia,2000-09-08
MSI GeForce GTX 1080 Ti GAMING X 11G,,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.57GHz",666.59,759.99,208.0,Toronto,Toronto,Ontario,Canada,
Zotac ZT-P10810D-10P,,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.57GHz",580.1,759.99,304.0,New Jersey,South Brunswick,New Jersey,United States,
Intel Core i7-5960X,,"Speed:3.0GHz,Cores:8,TDP:140W",865.59,1009.79,172.0,"Seattle, Washington",Seattle,Washington,United States,2000-01-09
MSI X299 TOMAHAWK ARCTIC,,"CPU:LGA2066,Form Factor:ATX,RAM Slots:8,Max RAM:128GB",223.92,281.98,15.0,Beijing,Beijing,Beijing,China,2000-06-10
Samsung MZ-75E1T0B/AM,,"Series:850 EVO-Series,Type:SSD,Capacity:1TB,Cache:N/A",260.23,339.99,216.0,Toronto,Toronto,Ontario,Canada,
Corsair Vengeance LPX,True,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",571.7,645.99,107.0,San Francisco,South San Francisco,California,United States,
Intel Xeon E5-2697 V2,,"Speed:2.7GHz,Cores:12,TDP:130W",2101.59,2377.09,44.0,Toronto,Toronto,Ontario,Canada,
Gigabyte GV-N98TWF3OC-6GD,,"Chipset:GeForce GTX 980 Ti,Memory:6GBCore Clock:1.06GHz",633.29,749.99,27.0,Mexico City,Monterrey,Nuevo Leon,Mexico,
Zotac ZT-P10810C-10P,True,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.65GHz",535.03,759.99,209.0,Toronto,Toronto,Ontario,Canada,
Gigabyte GV-N98TWF3OC-6GD,,"Chipset:GeForce GTX 980 Ti,Memory:6GBCore Clock:1.06GHz",633.29,749.99,118.0,New Jersey,South Brunswick,New Jersey,United States,
Seagate ST3000DM008,,"Series:Barracuda,Type:7200RPM,Capacity:3TB,Cache:64MB",61.63,83.61,62.0,Sydney,Sydney,New South Wales,Australia,
MSI GTX 980 Ti Gaming 6G,True,"Chipset:GeForce GTX 980 Ti,Memory:6GBCore Clock:1.18GHz",539.98,745.32,151.0,Sydney,Sydney,New South Wales,Australia,
Asus X99-E-10G WS,,"CPU:LGA2011-3,Form Factor:SSI CEB,RAM Slots:8,Max RAM:128GB",582.02,649.0,137.0,Beijing,Beijing,Beijing,China,2000-02-12
MSI GeForce GTX 1080 Ti GAMING X 11G,,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.57GHz",666.59,759.99,149.0,Beijing,Beijing,Beijing,China,2000-07-12
MSI GeForce GTX 1080 TI ARMOR 11G OC,,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.48GHz",644.19,764.98,209.0,Toronto,Toronto,Ontario,Canada,
Hitachi HUS724030ALE641,,"Series:Ultrastar 7K4000,Type:7200RPM,Capacity:3TB,Cache:64MB",54.03,65.92,34.0,Sydney,Sydney,New South Wales,Australia,
Samsung MZ-75E1T0B/AM,,"Series:850 EVO-Series,Type:SSD,Capacity:1TB,Cache:N/A",260.23,339.99,202.0,Sydney,Sydney,New South Wales,Australia,
AMD FirePro W9100,,"Chipset:FirePro W9100,Memory:16GBCore Clock:930MHz",2483.38,2998.89,19.0,Bombay,Bombay,Maharashtra,India,2001-12-01
Western Digital WD1003FZEX,True,"Series:BLACK SERIES,Type:7200RPM,Capacity:1TB,Cache:64MB",61.76,70.89,124.0,Beijing,Beijing,Beijing,China,
MSI GTX 1080 Ti DUKE 11G OC,,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.53GHz",555.07,739.99,214.0,San Francisco,South San Francisco,California,United States,
Gigabyte GV-N108TAORUSX W-11GD,,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.63GHz",596.05,824.98,37.0,Bombay,Bombay,Maharashtra,India,2001-11-02
G.Skill Trident Z,,"Speed:DDR4-3400,Type:288-pin DIMM,CAS:16Module:4x16GBSize:64GB",565.39,731.99,56.0,Sydney,Sydney,New South Wales,Australia,
Corsair Dominator Platinum,,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",616.53,719.99,4.0,Bombay,Bombay,Maharashtra,India,
G.Skill Trident Z,True,"Speed:DDR4-3600,Type:288-pin DIMM,CAS:17Module:4x16GBSize:64GB",594.04,768.99,26.0,Beijing,Beijing,Beijing,China,
Kingston,,"Speed:DDR3-1600,Type:240-pin DIMM,CAS:11Module:4x16GBSize:64GB",474.18,644.0,178.0,San Francisco,South San Francisco,California,United States,
Samsung MZ-V6E500,,"Series:960 EVO,Type:SSD,Capacity:500GB,Cache:512MB",209.62,234.0,216.0,Toronto,Toronto,Ontario,Canada,
G.Skill Trident Z,,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:8x16GBSize:128GB",1163.49,1431.99,227.0,San Francisco,South San Francisco,California,United States,
Western Digital WD2500AAJS,,"Series:Caviar Blue,Type:7200RPM,Capacity:250GB,Cache:8MB",15.23,16.99,58.0,Sydney,Sydney,New South Wales,Australia,2001-01-05
ASRock X99 Extreme11,,"CPU:LGA2011-3,Form Factor:EATX,RAM Slots:8,Max RAM:128GB",380.55,469.99,7.0,Bombay,Bombay,Maharashtra,India,2001-08-05
G.Skill Ripjaws V Series,,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",517.78,686.99,113.0,San Francisco,South San Francisco,California,United States,
MSI GAMING,,"Chipset:GeForce GTX 780 Ti,Memory:3GBCore Clock:1.02GHz",753.18,849.99,36.0,Mexico City,Monterrey,Nuevo Leon,Mexico,2001-04-06
G.Skill Trident Z,,"Speed:DDR4-3466,Type:288-pin DIMM,CAS:16Module:4x16GBSize:64GB",601.56,725.99,33.0,Sydney,Sydney,New South Wales,Australia,2001-08-06
G.Skill Ripjaws V Series,,"Speed:DDR4-3000,Type:288-pin DIMM,CAS:14Module:4x16GBSize:64GB",499.09,645.99,107.0,"Seattle, Washington",Seattle,Washington,United States,
Western Digital WD1003FZEX,,"Series:BLACK SERIES,Type:7200RPM,Capacity:1TB,Cache:64MB",61.76,70.89,137.0,Mexico City,San Francisco,California,United States,
